pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
286.2501	CE5828	M-HCOONa+H[1+]	-0.0026		Prostaglandin formation from arachidonate
326.2445	CE5828	M-CO+H[1+]	-0.0006		Prostaglandin formation from arachidonate
282.2201	CE5828	M-C3H4O2+H[1+]	0.0011		Prostaglandin formation from arachidonate
326.2467	CE5828	M-CO+H[1+]	0.0016		Prostaglandin formation from arachidonate
354.238	CE5828	M+H[1+]	-0.0021		Prostaglandin formation from arachidonate
336.2272	CE5828	M-H2O+H[1+]	-0.0023		Prostaglandin formation from arachidonate
318.2171	CE5828	M-H4O2+H[1+]	-0.0018		Prostaglandin formation from arachidonate
310.2484	CE5828	M-CO2+H[1+]	-0.0019		Prostaglandin formation from arachidonate
310.2486	CE5828	M-CO2+H[1+]	-0.0017		Prostaglandin formation from arachidonate
318.2174	CE5828	M-H4O2+H[1+]	-0.0015		Prostaglandin formation from arachidonate
326.2459	CE5828	M-CO+H[1+]	0.0008		Prostaglandin formation from arachidonate
326.246	CE5828	M-CO+H[1+]	0.0009		Prostaglandin formation from arachidonate
354.2381	CE5828	M+H[1+]	-0.002		Prostaglandin formation from arachidonate
310.2482	CE5828	M-CO2+H[1+]	-0.0021		Prostaglandin formation from arachidonate
282.2189	CE5828	M-C3H4O2+H[1+]	-0.0001		Prostaglandin formation from arachidonate
376.2256	CE5828	M+Na[1+]	0.0035		Prostaglandin formation from arachidonate
326.243	CE5828	M-CO+H[1+]	-0.0021		Prostaglandin formation from arachidonate
354.2376	CE5828	M+H[1+]	-0.0025		Prostaglandin formation from arachidonate
326.2462	CE5828	M-CO+H[1+]	0.0011		Prostaglandin formation from arachidonate
326.2452	CE5828	M-CO+H[1+]	0.0001		Prostaglandin formation from arachidonate
326.2453	CE5828	M-CO+H[1+]	0.0002		Prostaglandin formation from arachidonate
354.2383	CE5828	M+H[1+]	-0.0018		Prostaglandin formation from arachidonate
318.2168	CE5828	M-H4O2+H[1+]	-0.0021		Prostaglandin formation from arachidonate
354.2431	CE5828	M+H[1+]	0.003		Prostaglandin formation from arachidonate
326.2461	CE5828	M-CO+H[1+]	0.001		Prostaglandin formation from arachidonate
438.2022	CE5828	M+HCOOK[1+]	0.0008		Prostaglandin formation from arachidonate
282.2205	CE5828	M-C3H4O2+H[1+]	0.0015		Prostaglandin formation from arachidonate
336.2268	CE5828	M-H2O+H[1+]	-0.0027		Prostaglandin formation from arachidonate
336.2296	CE5828	M-H2O+H[1+]	0.0001		Prostaglandin formation from arachidonate
336.2274	CE5828	M-H2O+H[1+]	-0.0021		Prostaglandin formation from arachidonate
318.2172	CE5828	M-H4O2+H[1+]	-0.0017		Prostaglandin formation from arachidonate
326.247	CE5828	M-CO+H[1+]	0.0019		Prostaglandin formation from arachidonate
282.22	CE5828	M-C3H4O2+H[1+]	0.001		Prostaglandin formation from arachidonate
354.2402	CE5828	M+H[1+]	0.0001		Prostaglandin formation from arachidonate
326.2447	CE5828	M-CO+H[1+]	-0.0004		Prostaglandin formation from arachidonate
326.2444	CE5828	M-CO+H[1+]	-0.0007		Prostaglandin formation from arachidonate
282.2197	CE5828	M-C3H4O2+H[1+]	0.0007		Prostaglandin formation from arachidonate
326.2458	CE5828	M-CO+H[1+]	0.0007		Prostaglandin formation from arachidonate
282.2193	CE5828	M-C3H4O2+H[1+]	0.0003		Prostaglandin formation from arachidonate
372.2487	CE5828	M+H2O+H[1+]	-0.002		Prostaglandin formation from arachidonate
318.2169	CE5828	M-H4O2+H[1+]	-0.002		Prostaglandin formation from arachidonate
336.2282	CE5828	M-H2O+H[1+]	-0.0013		Prostaglandin formation from arachidonate
421.3221	lnlncacrn	M[1+]	0.0029	alpha-linolenyl carnitine	Carnitine shuttle
423.3331	lnlncacrn	M(C13)+H[1+]	0.0032	alpha-linolenyl carnitine	Carnitine shuttle
444.3063	lnlncacrn	M+Na[1+]	-0.0022	alpha-linolenyl carnitine	Carnitine shuttle
444.3083	lnlncacrn	M+Na[1+]	-0.0002	alpha-linolenyl carnitine	Carnitine shuttle
490.312	lnlncacrn	M+HCOONa[1+]	-0.0019	alpha-linolenyl carnitine	Carnitine shuttle
460.2778	lnlncacrn	M+K[1+]	-0.0042	alpha-linolenyl carnitine	Carnitine shuttle
444.3062	lnlncacrn	M+Na[1+]	-0.0023	alpha-linolenyl carnitine	Carnitine shuttle
444.306	lnlncacrn	M+Na[1+]	-0.0025	alpha-linolenyl carnitine	Carnitine shuttle
386.3033	lnlncacrn	M-H4O2+H[1+]	-0.002	alpha-linolenyl carnitine	Carnitine shuttle
376.3191	lnlncacrn	M-HCOOH+H[1+]	-0.002	alpha-linolenyl carnitine	Carnitine shuttle
460.2791	lnlncacrn	M+K[1+]	-0.0029	alpha-linolenyl carnitine	Carnitine shuttle
444.3067	lnlncacrn	M+Na[1+]	-0.0018	alpha-linolenyl carnitine	Carnitine shuttle
376.3188	lnlncacrn	M-HCOOH+H[1+]	-0.0023	alpha-linolenyl carnitine	Carnitine shuttle
376.3185	lnlncacrn	M-HCOOH+H[1+]	-0.0026	alpha-linolenyl carnitine	Carnitine shuttle
421.323	lnlncacrn	M[1+]	0.0038	alpha-linolenyl carnitine	Carnitine shuttle
376.3187	lnlncacrn	M-HCOOH+H[1+]	-0.0024	alpha-linolenyl carnitine	Carnitine shuttle
421.3176	lnlncacrn	M[1+]	-0.0016	alpha-linolenyl carnitine	Carnitine shuttle
460.2849	lnlncacrn	M+K[1+]	0.0029	alpha-linolenyl carnitine	Carnitine shuttle
376.3184	lnlncacrn	M-HCOOH+H[1+]	-0.0027	alpha-linolenyl carnitine	Carnitine shuttle
421.3182	lnlncacrn	M[1+]	-0.001	alpha-linolenyl carnitine	Carnitine shuttle
421.3212	lnlncacrn	M[1+]	0.002	alpha-linolenyl carnitine	Carnitine shuttle
460.2832	lnlncacrn	M+K[1+]	0.0012	alpha-linolenyl carnitine	Carnitine shuttle
444.3064	lnlncacrn	M+Na[1+]	-0.0021	alpha-linolenyl carnitine	Carnitine shuttle
506.2919	lnlncacrn	M+HCOOK[1+]	0.0041	alpha-linolenyl carnitine	Carnitine shuttle
309.2076	C07163	M[1+]	-0.0017	Methadone	Drug metabolism - cytochrome P450
310.2145	C07163	M+H[1+]	-0.0021	Methadone	Drug metabolism - cytochrome P450
282.2197	C07163	M-CO+H[1+]	-0.0019	Methadone	Drug metabolism - cytochrome P450
332.1976	C07163	M+Na[1+]	-0.001	Methadone	Drug metabolism - cytochrome P450
328.2296	C07163	M+H2O+H[1+]	0.0024	Methadone	Drug metabolism - cytochrome P450
328.2241	C07163	M+H2O+H[1+]	-0.0031	Methadone	Drug metabolism - cytochrome P450
310.2151	C07163	M+H[1+]	-0.0015	Methadone	Drug metabolism - cytochrome P450
394.1799	C07163	M+HCOOK[1+]	0.002	Methadone	Drug metabolism - cytochrome P450
328.2243	C07163	M+H2O+H[1+]	-0.0029	Methadone	Drug metabolism - cytochrome P450
156.1151	C07163	M(C13)+2H[2+]	0.0015	Methadone	Drug metabolism - cytochrome P450
328.2242	C07163	M+H2O+H[1+]	-0.003	Methadone	Drug metabolism - cytochrome P450
328.2267	C07163	M+H2O+H[1+]	-0.0005	Methadone	Drug metabolism - cytochrome P450
282.2189	C07163	M-CO+H[1+]	-0.0027	Methadone	Drug metabolism - cytochrome P450
394.1785	C07163	M+HCOOK[1+]	0.0006	Methadone	Drug metabolism - cytochrome P450
156.115	C07163	M(C13)+2H[2+]	0.0014	Methadone	Drug metabolism - cytochrome P450
238.1956	C07163	M-C3H4O2+H[1+]	0.0001	Methadone	Drug metabolism - cytochrome P450
311.22	C07163	M(C13)+H[1+]	0.0	Methadone	Drug metabolism - cytochrome P450
264.2087	C07163	M-HCOOH+H[1+]	-0.0025	Methadone	Drug metabolism - cytochrome P450
368.1743	C07163	M+NaCl[1+]	-0.0009	Methadone	Drug metabolism - cytochrome P450
282.2195	C07163	M-CO+H[1+]	-0.0021	Methadone	Drug metabolism - cytochrome P450
282.2201	C07163	M-CO+H[1+]	-0.0015	Methadone	Drug metabolism - cytochrome P450
282.2205	C07163	M-CO+H[1+]	-0.0011	Methadone	Drug metabolism - cytochrome P450
394.1817	C07163	M+HCOOK[1+]	0.0038	Methadone	Drug metabolism - cytochrome P450
282.2192	C07163	M-CO+H[1+]	-0.0024	Methadone	Drug metabolism - cytochrome P450
282.22	C07163	M-CO+H[1+]	-0.0016	Methadone	Drug metabolism - cytochrome P450
264.2086	C07163	M-HCOOH+H[1+]	-0.0026	Methadone	Drug metabolism - cytochrome P450
156.1149	C07163	M(C13)+2H[2+]	0.0013	Methadone	Drug metabolism - cytochrome P450
332.1963	C07163	M+Na[1+]	-0.0023	Methadone	Drug metabolism - cytochrome P450
282.2193	C07163	M-CO+H[1+]	-0.0023	Methadone	Drug metabolism - cytochrome P450
266.2242	C07163	M-CO2+H[1+]	-0.0026	Methadone	Drug metabolism - cytochrome P450
394.1784	C07163	M+HCOOK[1+]	0.0005	Methadone	Drug metabolism - cytochrome P450
332.1965	C07163	M+Na[1+]	-0.0021	Methadone	Drug metabolism - cytochrome P450
394.1783	C07163	M+HCOOK[1+]	0.0004	Methadone	Drug metabolism - cytochrome P450
332.1964	C07163	M+Na[1+]	-0.0022	Methadone	Drug metabolism - cytochrome P450
310.2148	C07163	M+H[1+]	-0.0018	Methadone	Drug metabolism - cytochrome P450
282.2196	C07163	M-CO+H[1+]	-0.002	Methadone	Drug metabolism - cytochrome P450
328.2249	C07163	M+H2O+H[1+]	-0.0023	Methadone	Drug metabolism - cytochrome P450
310.2146	C07163	M+H[1+]	-0.002	Methadone	Drug metabolism - cytochrome P450
282.2194	C07163	M-CO+H[1+]	-0.0022	Methadone	Drug metabolism - cytochrome P450
310.2149	C07163	M+H[1+]	-0.0017	Methadone	Drug metabolism - cytochrome P450
332.1966	C07163	M+Na[1+]	-0.002	Methadone	Drug metabolism - cytochrome P450
328.2246	C07163	M+H2O+H[1+]	-0.0026	Methadone	Drug metabolism - cytochrome P450
378.2068	C07163	M+HCOONa[1+]	0.0028	Methadone	Drug metabolism - cytochrome P450
328.2255	C07163	M+H2O+H[1+]	-0.0017	Methadone	Drug metabolism - cytochrome P450
394.1792	C07163	M+HCOOK[1+]	0.0013	Methadone	Drug metabolism - cytochrome P450
328.2252	C07163	M+H2O+H[1+]	-0.002	Methadone	Drug metabolism - cytochrome P450
282.2198	C07163	M-CO+H[1+]	-0.0018	Methadone	Drug metabolism - cytochrome P450
156.1144	C07163	M(C13)+2H[2+]	0.0008	Methadone	Drug metabolism - cytochrome P450
332.1962	C07163	M+Na[1+]	-0.0024	Methadone	Drug metabolism - cytochrome P450
392.1699	CE4876	M+NaCl[1+]	-0.0025	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
336.2134	CE4876	M(Cl37)+H[1+]	0.0024	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2031	CE4876	M-H2O+H[1+]	-0.0001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2018	CE4876	M-H2O+H[1+]	-0.0014	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.217	CE4876	M+H[1+]	0.0032	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2222	CE4876	M-CO2+H[1+]	-0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.216	CE4876	M+H[1+]	0.0022	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2239	CE4876	M-CO2+H[1+]	-0.0001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2151	CE4876	M+H[1+]	0.0013	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.217	CE4876	M-CO+H[1+]	-0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2017	CE4876	M-H2O+H[1+]	-0.0015	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
262.1909	CE4876	M-C3H4O2+H[1+]	-0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2149	CE4876	M+H[1+]	0.0011	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
352.2257	CE4876	M+H2O+H[1+]	0.0013	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.212	CE4876	M+H[1+]	-0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2245	CE4876	M-CO2+H[1+]	0.0005	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2163	CE4876	M+H[1+]	0.0025	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
352.2241	CE4876	M+H2O+H[1+]	-0.0003	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2119	CE4876	M+H[1+]	-0.0019	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
298.1903	CE4876	M-H4O2+H[1+]	-0.0023	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2156	CE4876	M+H[1+]	0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2171	CE4876	M-CO+H[1+]	-0.0017	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2125	CE4876	M+H[1+]	-0.0013	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2013	CE4876	M-H2O+H[1+]	-0.0019	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
336.2097	CE4876	M(S34)+H[1+]	0.0001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
317.1891	CE4876	M-NH3+H[1+]	0.0018	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2012	CE4876	M-H2O+H[1+]	-0.002	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2235	CE4876	M-CO2+H[1+]	-0.0005	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2147	CE4876	M+H[1+]	0.0009	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2167	CE4876	M-CO+H[1+]	-0.0021	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
316.2039	CE4876	M-H2O+H[1+]	0.0007	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
392.1726	CE4876	M+NaCl[1+]	0.0002	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2166	CE4876	M-CO+H[1+]	-0.0022	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
288.2083	CE4876	M-HCOOH+H[1+]	-0.0001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2237	CE4876	M-CO2+H[1+]	-0.0003	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
317.1888	CE4876	M-NH3+H[1+]	0.0015	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
288.2085	CE4876	M-HCOOH+H[1+]	0.0001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2169	CE4876	M-CO+H[1+]	-0.0019	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2168	CE4876	M+H[1+]	0.003	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2159	CE4876	M-CO+H[1+]	-0.0029	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.225	CE4876	M-CO2+H[1+]	0.001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
336.2097	CE4876	M(Cl37)+H[1+]	-0.0013	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
266.2242	CE4876	M-HCOONa+H[1+]	-0.0022	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
290.2221	CE4876	M-CO2+H[1+]	-0.0019	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
306.2163	CE4876	M-CO+H[1+]	-0.0025	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
334.2148	CE4876	M+H[1+]	0.001	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
402.2015	CE4876	M+HCOONa[1+]	0.0003	delta12-Prostaglandin J2	Prostaglandin formation from arachidonate
354.2426	C14814	M[1+]	0.002	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
356.253	C14814	M(C13)+H[1+]	0.0017	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
356.2539	C14814	M(C13)+H[1+]	0.0026	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2393	C14814	M[1+]	-0.0013	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2372	C14814	M[1+]	-0.0034	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
357.2428	C14814	M(Cl37)+H[1+]	-0.0023	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2376	C14814	M[1+]	-0.003	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
356.2529	C14814	M(C13)+H[1+]	0.0016	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2431	C14814	M[1+]	0.0025	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
271.2871	C14814	M-HCOOK+H[1+]	0.0005	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
357.2474	C14814	M(Cl37)+H[1+]	0.0023	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
337.2363	C14814	M-H2O+H[1+]	-0.001	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
373.2577	C14814	M+H2O+H[1+]	-0.0008	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
413.2089	C14814	M+NaCl[1+]	0.0024	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2381	C14814	M[1+]	-0.0025	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
377.2324	C14814	M+Na[1+]	0.0025	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
377.2333	C14814	M+Na[1+]	0.0034	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2377	C14814	M[1+]	-0.0029	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
413.208	C14814	M+NaCl[1+]	0.0015	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
189.1168	C14814	M+H+Na[2+]	-0.0018	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2402	C14814	M[1+]	-0.0004	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
357.2484	C14814	M(Cl37)+H[1+]	0.0033	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
357.2428	C14814	M(S34)+H[1+]	-0.0009	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.2383	C14814	M[1+]	-0.0023	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
356.248	C14814	M(C13)+H[1+]	-0.0033	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
354.238	C14814	M[1+]	-0.0026	11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
360.2296	C05011	M-CO+H[1+]	-0.0025	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2026	C05011	M-H4O2+H[1+]	-0.0033	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
446.1859	C05011	M+NaCl[1+]	0.0002	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
342.2188	C05011	M-HCOOH+H[1+]	-0.0029	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
410.2111	C05011	M+Na[1+]	0.002	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
342.2231	C05011	M-HCOOH+H[1+]	0.0014	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
316.2039	C05011	M-C3H4O2+H[1+]	-0.0021	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
370.2197	C05011	M-H2O+H[1+]	0.0032	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2034	C05011	M-H4O2+H[1+]	-0.0025	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
390.2225	C05011	M(Cl37)+H[1+]	-0.0018	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
410.2114	C05011	M+Na[1+]	0.0023	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
370.2199	C05011	M-H2O+H[1+]	0.0034	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
410.2118	C05011	M+Na[1+]	0.0027	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
472.1891	C05011	M+HCOOK[1+]	0.0007	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2025	C05011	M-H4O2+H[1+]	-0.0034	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2067	C05011	M-H4O2+H[1+]	0.0008	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2052	C05011	M-H4O2+H[1+]	-0.0007	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
320.237	C05011	M-HCOONa+H[1+]	-0.0027	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
472.1871	C05011	M+HCOOK[1+]	-0.0013	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
410.2055	C05011	M+Na[1+]	-0.0036	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
406.2342	C05011	M+H2O+H[1+]	-0.0035	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
390.2225	C05011	M(S34)+H[1+]	-0.0004	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
456.2154	C05011	M+HCOONa[1+]	0.0009	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
352.2028	C05011	M-H4O2+H[1+]	-0.0031	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
410.2109	C05011	M+Na[1+]	0.0018	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
472.1877	C05011	M+HCOOK[1+]	-0.0007	Hydroxytamoxifen; 4-Hydroxytamoxifen	Drug metabolism - cytochrome P450
